City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Havre-Saint-Pierre,CA,50.2334,-63.5986,59.36,94,40,10.36,scattered clouds
80,Carnarvon,AU,-24.8667,113.6333,69.42,75,100,15.75,light rain
81,Xunchang,CN,28.4543,104.715,81.14,72,98,1.92,overcast clouds
82,Cortez,US,37.3489,-108.5859,76.93,50,40,10.36,scattered clouds
83,Iztapa,GT,13.9333,-90.7075,78.85,83,75,5.75,broken clouds
84,Tuatapere,NZ,-46.1333,167.6833,48.76,81,100,8.59,light rain
85,Ponta Do Sol,PT,32.6667,-17.1,72.01,78,3,3.0,clear sky
86,Kapaa,US,22.0752,-159.319,84.52,68,40,17.27,scattered clouds
87,Tynda,RU,55.1667,124.7167,65.93,87,100,3.18,overcast clouds
88,Nikolskoye,RU,59.7035,30.7861,58.8,84,100,4.32,overcast clouds
89,Grand-Santi,GF,4.25,-54.3833,72.32,98,98,2.04,overcast clouds
90,Tasiilaq,GL,65.6145,-37.6368,38.97,50,23,4.99,few clouds
91,Borova,UA,50.1763,30.1043,65.34,64,100,6.2,overcast clouds
92,Bad Durkheim,DE,49.4686,8.1664,74.66,80,15,4.29,few clouds
93,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,75.24,22,0,2.8,clear sky
94,Marystown,CA,47.1666,-55.1483,63.86,100,30,8.01,scattered clouds
95,Tiksi,RU,71.6872,128.8694,40.64,94,100,17.74,moderate rain
96,Fortuna,US,40.5982,-124.1573,71.92,76,0,13.8,clear sky
97,Am Timan,TD,11.0297,20.2827,71.2,95,100,4.56,overcast clouds
98,Vestmannaeyjar,IS,63.4427,-20.2734,49.23,75,66,18.34,broken clouds
99,Tonota,BW,-21.4833,27.4833,57.09,25,0,7.76,clear sky
100,Uppsala,SE,60.0,17.75,62.04,77,100,6.91,overcast clouds
101,Guerrero Negro,MX,27.9769,-114.0611,79.03,55,18,14.03,few clouds
102,Ancud,CL,-41.8697,-73.8203,42.22,84,100,1.23,overcast clouds
103,Aginskoye,RU,51.1,114.53,73.17,54,40,9.08,scattered clouds
104,Sao Joao Da Barra,BR,-21.6403,-41.0511,67.3,72,0,6.06,clear sky
105,Mahebourg,MU,-20.4081,57.7,68.29,83,40,9.22,scattered clouds
106,Altay,CN,47.8667,88.1167,71.92,37,0,1.14,clear sky
107,Khatanga,RU,71.9667,102.5,48.16,64,60,10.71,broken clouds
108,Lavrentiya,RU,65.5833,-171.0,48.81,69,95,4.76,overcast clouds
109,Mataura,NZ,-46.1927,168.8643,50.49,73,100,9.24,overcast clouds
110,Leh,IN,34.1667,77.5833,58.8,58,79,5.93,broken clouds
111,Mana,GF,5.6592,-53.7767,77.95,86,99,5.79,overcast clouds
112,Goundam,ML,16.4145,-3.6708,92.48,35,96,7.83,light rain
113,Berdigestyakh,RU,62.0989,126.6992,68.85,80,100,5.61,overcast clouds
114,Batemans Bay,AU,-35.7167,150.1833,58.1,46,2,12.24,clear sky
115,Padang,ID,-0.9492,100.3543,77.05,82,100,3.02,overcast clouds
116,Talnakh,RU,69.4865,88.3972,47.21,56,2,19.77,clear sky
117,Port Blair,IN,11.6667,92.75,78.84,94,40,2.3,scattered clouds
118,Paamiut,GL,61.994,-49.6678,45.93,88,100,5.03,overcast clouds
119,Faanui,PF,-16.4833,-151.75,78.64,71,15,24.58,light rain
120,Lompoc,US,34.6391,-120.4579,77.85,71,0,14.97,clear sky
121,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,83,100,12.66,overcast clouds
122,Aswan,EG,24.0934,32.907,87.1,20,0,3.44,clear sky
123,Upernavik,GL,72.7868,-56.1549,48.76,68,100,0.45,overcast clouds
124,Wundanyi,KE,-3.4019,38.364,57.33,82,52,6.4,broken clouds
125,Victoria,HK,22.2855,114.1577,91.26,75,97,1.99,overcast clouds
126,Noumea,NC,-22.2763,166.4572,75.18,99,96,13.71,overcast clouds
127,Saint Anthony,US,45.0205,-93.218,83.93,67,20,11.5,few clouds
128,Port Macquarie,AU,-31.4333,152.9167,62.89,59,100,8.14,overcast clouds
129,Beloha,MG,-25.1667,45.05,63.84,93,2,5.03,clear sky
130,Kavieng,PG,-2.5744,150.7967,85.17,69,84,14.36,broken clouds
